T,H,P,U,FWI,ISI,BUI,FFMC,DMC,DC,FFDI,M68,pM68,M68dwd,pM68dwd,Sharples,FMI,KBDISI,FFWI,FFWImod,Angstroem,Nesterov,EMC,PETthorn,res,res_surf,OrieuxDanger,DFnoble,I87,DFgriffithAdj,DateYYYYMMDD
20.535688,73.451805,4.5167923,2.6040795,0.2950716,0.55660367,7.8089843,57.61465,4.0291057,315.60846,1.0804801,173.06015,346.1203,37.976025,75.95205,0.4035763,23.229029,4.821943112,6.8536224,4.939548,4.319021,0,13.819927,3.68694,86.1568,7.174903,1,2.953816,1.0932015,4.3668156,20220830
17.211124,85.896286,3.5650156,2.6315057,0.06262446,0.14560005,4.9985757,45.613964,2.5499551,314.4581,0.3229445,114.794876,229.58975,25.526041,51.052082,0.34865555,27.17129,2.688492718,4.267067,3.0732446,5.2737017,0,18.721714,2.9916945,88.00345,8.593407,1,1.9221222,0.6540696,2.2187545,20220831
16.692192,77.15488,0,3.4342935,0.46238622,0.96238524,6.383532,64.47456,3.273609,319.1667,0.6069802,158.25151,316.50302,35.660934,71.32187,0.49226066,25.115671,3.4889694,7.8912864,5.684704,4.8885245,67.186264,15.231688,2.875093,86.31666,6.1227226,1,3.4083028,1.3061574,2.9446077,20220901
16.353588,78.83845,0.015632955,2.273499,0.5496414,1.0488944,7.630754,72.93943,3.931176,323.81433,0.83831567,197.14809,394.29617,44.78226,89.56452,0.31944606,25.621216,4.2461053,4.972804,3.5831983,5.0065637,127.460464,15.85996,2.7955556,84.7236,4.4267144,1,6.207847,1.1574068,4.8386917,20220902
17.411602,83.88563,3.461029,2.8953125,0.17215285,0.40312743,4.9162827,53.358406,2.5060244,321.62604,0.8291492,131.52118,263.04236,29.988634,59.97727,0.39157438,26.618507,5.129370488,5.158027,3.7179868,5.153121,0,17.827246,2.993283,86.49396,6.5627027,1,3.4759958,0.98462534,5.2206535,20220903
19.16196,74.341934,0,1.8097528,0.41378063,0.84235466,6.6876335,69.03164,3.4316027,326.7792,1.1970448,193.80867,387.61734,43.98826,87.97652,0.2738017,23.794994,6.24910104,4.6874475,3.380637,4.5009007,89.66161,14.164779,3.3302596,84.57364,4.3771524,1,4.7907395,1.1588205,5.6057167,20220904
19.550327,75.05857,0,1.8736463,0.6655115,1.2079972,8.421391,76.82838,4.3485746,332.00226,1.2810799,256.6633,513.3266,58.03981,116.07962,0.282494,23.877062,7.420683152,4.749949,3.4280715,4.4978957,178.50508,14.37928,3.3936963,82.660194,2.8916798,1,5.32503,1.8562776,6.0425415,20220905
18.556574,87.30266,8.463285,2.2456505,0.0133837005,0.033410754,4.2180414,37.760685,2.1452887,311.87683,0.30606636,93.23003,186.46005,21.09871,42.19742,0.2973658,27.186522,5.07548388,3.432618,2.4742262,5.2094755,0,19.292692,3.1804667,89.37083,10,1,1.8969135,0.5049107,2.1783702,20220906
19.5764,81.73005,10.441513,2.8394458,0.0065976833,0.020757148,2.185891,35.0893,1.1034675,286.5496,0.11164068,46.15721,92.31442,10.315072,20.630144,0.40026,25.538412,1.2128589916,5.613976,4.042319,4.828862,0,16.81845,3.3689356,97.80511,10,1,0.9379671,0.6877077,0.5923755,20220907
17.49572,77.11697,10.114584,3.1389277,0.009831226,0.035867106,1.2318188,37.32586,0.6195272,263.6757,0.06467939,47.179737,94.359474,10.865455,21.73091,0.4537241,24.905312,0.913123904,7.260144,5.227492,4.8062763,0,15.179245,2.944277,105.99992,10,0,0.63534796,0.6916883,0.30355218,20220908
16.370314,74.456474,1.4045883,3.3363788,0.19050488,0.5543991,2.7912643,55.918995,1.4140189,268.32635,0.103673615,70.62072,141.24144,16.45854,32.91708,0.48981276,24.521542,0.772352532,8.336227,6.002238,4.7857924,74.56717,14.332563,2.7136295,105.48688,8.690959,0,0.607443,0.821794,0.45589584,20220909
15.233722,78.171135,1.5879027,3.8252344,0.3237874,0.901228,3.1719174,61.62649,1.6093515,272.77243,0.30095416,71.07229,142.14458,16.776098,33.552197,0.53511524,25.734352,0.64357377,8.418737,6.061599,5.0851846,132.17613,15.668834,2.485169,105.327095,8.119011,0,0.57879794,0.89463204,1.5239398,20220910
11.342056,84.39999,0.0698363,1.0249811,0.26483113,0.68612057,3.8419218,67.10101,1.9549127,276.51797,0.28637785,87.83944,175.67888,21.1064,42.2128,0.13055013,28.264482,0.2881270336,1.857484,1.3373933,5.785794,160.96902,18.371737,1.7573836,104.16293,6.762026,0,1.3728721,0.19958682,2.6142995,20220911
13.137081,50.05879,0,0,0.37424836,0.7860278,6.2618628,75.45308,3.2207792,280.58667,1.2016664,153.32903,306.65805,33.61132,67.22264,0.052000925,19.230427,0.43714289,1.6243621,1.1695503,3.8892312,294.5114,9.842515,2.0741422,102.72261,5.3594856,0,2.0993695,0,3.4544826,20220912
17.09679,42.96511,0.1,0,0.8698858,1.4653571,9.706075,82.22615,5.068529,285.36807,2.074265,266.3298,532.6596,54.236744,108.47349,0.06072722,16.467081,1.29692019,1.8524561,1.3338649,3.1385765,511.31876,8.178702,2.8019726,100.90377,3.9577723,0,5.902222,0,4.092697,20220913
14.267667,74.5492,3.5,0,0.07069962,0.14323853,6.754705,48.91592,3.4811683,283.1248,0.75329745,170.84163,341.68326,36.281315,72.56263,0.039887704,25.070383,1.8371961224,1.0941161,0.7878781,5.0006933,0,14.461405,2.261417,102.88253,6.562755,0,3.3031144,0,4.873673,20220914
10.259922,89.16189,14.8,0,0.0000017451533,0.000005199966,2.5999966,12.64363,1.3174801,244.92914,0.05110143,10.289631,20.579262,2.7260761,5.4521523,0.03364116,29.725492,0.2089672732,0.56998014,0.41038647,6.1321025,0,20.643604,1.5358466,116.62912,10,0,0.9514311,0,0.61004966,20220915
5.017166,62.5,1,0,0.00024390126,0.00066244823,3.3926313,24.541237,1.7258835,247.53624,0.15862714,23.589785,47.17957,5.459709,10.919418,0.041032866,24.370708,0,1.3938754,1.0035902,5.323283,32.89302,11.701393,0.667063,117.11046,10,0,1.9813708,0,0.9057764,20220916
-0.020469474,99.91178,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,20220917
